request_id,task_type,task_complexity,model_name,input_tokens,output_tokens,latency_ms,actual_cost_usd,quality_score,provider,pricing_mode,pricing_as_of,data_note,scenario_note
REAL001,classification,1,gpt-5.6-sol,350,40,2200,0.00295000,4.8,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Premium model used for a simple classification task
REAL002,classification,1,gpt-5.6-luna,420,55,750,0.00075000,4.3,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Cost-efficient classification request
REAL003,extraction,1,gpt-5.6-terra,850,120,1600,0.00392500,4.5,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Balanced model used for basic information extraction
REAL004,extraction,1,gpt-5.6-luna,900,150,900,0.00180000,4.1,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Low-cost extraction request
REAL005,summarization,2,gpt-5.6-terra,2400,420,2900,0.01230000,4.6,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Medium-complexity document summary
REAL006,summarization,2,gpt-5.6-sol,3000,600,5200,0.03300000,4.8,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Premium model used for routine summarization
REAL007,chatbot,3,gpt-5.6-terra,1100,250,1800,0.00650000,4.5,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Customer-support response
REAL008,chatbot,3,gpt-5.6-luna,850,220,1300,0.00217000,4.0,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Cheaper model tested on a medium-complexity chatbot task
REAL009,reasoning,5,gpt-5.6-sol,4200,1200,8500,0.05700000,4.9,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Complex multi-step reasoning request
REAL010,reasoning,5,gpt-5.6-terra,3500,900,6600,0.02225000,3.7,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Lower-tier model tested on a complex reasoning task
REAL011,classification,1,gpt-5.6-terra,600,80,1000,0.00270000,4.6,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Balanced model used where Luna may be sufficient
REAL012,summarization,2,gpt-5.6-luna,1800,300,2400,0.00360000,3.2,OpenAI,Standard short context,2026-07-19,"Real model IDs and official prices; token counts, latency and quality are realistic demo values",Lower-tier model tested for summarization
